EventID,PageNumber,PageEventEnds,OrderWithinPage,OrderPageEnd,EventLength,Chronological Order,StartDate,EndDate,Summary,event_words,chapter,event,Narrated,Hypothesized,NarratedConsciousness,Told,Remembered,Order,values
15499,5,5,5.02,5.03,0.010000000000000675,480,1909-09-06,1909-09-06,Quentin thinks about the true reason Rosa <br> summoned him to tell him about Sutpen. <br>  [SOURCE: Narrator],30,1,NA,NA,NA,537,NA,NA,Story,537
15500,5,6,5.03,6.01,0.9799999999999995,476.5,1909-09-06,1909-09-06,Quentin recalls getting the note from Miss <br> Rosa that morning. [SOURCE: Quentin],108,1,NA,530,NA,NA,NA,NA,Plot,7
15500,5,6,5.03,6.01,0.9799999999999995,476.5,1909-09-06,1909-09-06,Quentin recalls getting the note from Miss <br> Rosa that morning. [SOURCE: Quentin],108,1,NA,530,NA,NA,NA,NA,Story,530
15501,6,6,6.01,6.02,0.009999999999999787,476.6,1909-09-06,1909-09-06,"Quentin walks over to Rosa's house, where <br> she awaits him.  [SOURCE: Narrator]",165,1,NA,531,NA,NA,NA,NA,Plot,8
15501,6,6,6.01,6.02,0.009999999999999787,476.6,1909-09-06,1909-09-06,"Quentin walks over to Rosa's house, where <br> she awaits him.  [SOURCE: Narrator]",165,1,NA,531,NA,NA,NA,NA,Story,531
15502,6,6,6.02,6.03,0.010000000000000675,481,1909-09-06,1909-09-06,"In rethinking Rosa's reasons for telling him <br> the Sutpen story, Quentin changes his mind. <br>  [SOURCE: Narrator]",120,1,NA,538,NA,NA,NA,NA,Plot,9
15502,6,6,6.02,6.03,0.010000000000000675,481,1909-09-06,1909-09-06,"In rethinking Rosa's reasons for telling him <br> the Sutpen story, Quentin changes his mind. <br>  [SOURCE: Narrator]",120,1,NA,538,NA,NA,NA,NA,Story,538
15503,6,7,6.03,7.01,0.9799999999999995,319,1862-01-01,1875-12-31,"Quentin thinks about Rosa's poetic tributes to <br> the Confederate dead, and the ""martial background"" <br> of her family (6).  Elliptically, he refers to several of the <br> main events in the larger Sutpen story. <br>  [SOURCE: Narrator]",181,1,Henry shoots Charles,353,NA,NA,NA,NA,Plot,10
15503,6,7,6.03,7.01,0.9799999999999995,319,1862-01-01,1875-12-31,"Quentin thinks about Rosa's poetic tributes to <br> the Confederate dead, and the ""martial background"" <br> of her family (6).  Elliptically, he refers to several of the <br> main events in the larger Sutpen story. <br>  [SOURCE: Narrator]",181,1,Henry shoots Charles,353,NA,NA,NA,NA,Story,353
15504,7,7,7.01,7.02,0.009999999999999787,48,1833-06-01,1909-09-06,"While waiting for Rosa to explain why <br> he is there, Quentin thinks over the <br> long Yoknapatawpha history of Sutpen and his <br> family.  All of this past is an inescapable <br> part of his identity.  [SOURCE: Narrator]",279,1,NA,55,NA,NA,NA,NA,Plot,11
15504,7,7,7.01,7.02,0.009999999999999787,48,1833-06-01,1909-09-06,"While waiting for Rosa to explain why <br> he is there, Quentin thinks over the <br> long Yoknapatawpha history of Sutpen and his <br> family.  All of this past is an inescapable <br> part of his identity.  [SOURCE: Narrator]",279,1,NA,55,NA,NA,NA,NA,Story,55
15505,7,8,7.02,8.01,0.9900000000000002,493,1909-09-06,1909-09-06,"The narrative skips forward to a scene <br> between Quentin and his father that evening, <br> in which Mr. Compson offers an explanation <br> for why Rosa summoned Quentin that afternoon. <br>  [SOURCE: Narrator]",367,1,NA,551,NA,NA,NA,NA,Plot,12
15505,7,8,7.02,8.01,0.9900000000000002,493,1909-09-06,1909-09-06,"The narrative skips forward to a scene <br> between Quentin and his father that evening, <br> in which Mr. Compson offers an explanation <br> for why Rosa summoned Quentin that afternoon. <br>  [SOURCE: Narrator]",367,1,NA,551,NA,NA,NA,NA,Story,551
15506,8,9,8.01,9.01,1,482,1909-09-06,1909-09-06,"As Quentin continues to listen to Rosa, <br> while somehow ""remembering"" what his father will <br> say later that day, the evoked ghosts <br> of Sutpen and Ellen morph into an <br> imagined photograph of the four Sutpens - <br> Thomas, Ellen, Judith and Henry - as <br> a ""conventional family group"" (9), juxtaposed to <br> the outraged voice of Rosa talking to <br> him in the same room.  [SOURCE: Narrator]",503,1,NA,NA,NA,539,NA,NA,Plot,13
15506,8,9,8.01,9.01,1,482,1909-09-06,1909-09-06,"As Quentin continues to listen to Rosa, <br> while somehow ""remembering"" what his father will <br> say later that day, the evoked ghosts <br> of Sutpen and Ellen morph into an <br> imagined photograph of the four Sutpens - <br> Thomas, Ellen, Judith and Henry - as <br> a ""conventional family group"" (9), juxtaposed to <br> the outraged voice of Rosa talking to <br> him in the same room.  [SOURCE: Narrator]",503,1,NA,NA,NA,539,NA,NA,Story,539
15507,9,9,9.01,9.02,0.009999999999999787,46.5,1833-06-01,1838-12-31,"Rosa narrates, with a lot of repetition <br> and many chronological discontinuities, her version of <br> the Sutpen story, starting with Sutpen's arrival <br> as an apparent fugitive without past or <br> pedigree.    [SOURCE: Rosa]",127,1,Sutpen arrives,NA,NA,NA,52,NA,Plot,14
15507,9,9,9.01,9.02,0.009999999999999787,46.5,1833-06-01,1838-12-31,"Rosa narrates, with a lot of repetition <br> and many chronological discontinuities, her version of <br> the Sutpen story, starting with Sutpen's arrival <br> as an apparent fugitive without past or <br> pedigree.    [SOURCE: Rosa]",127,1,Sutpen arrives,NA,NA,NA,52,NA,Story,52
15508,9,10,9.02,10.01,0.9900000000000002,87,1838-01-01,1838-12-31,Rosa's narrative focuses for a moment on <br> her grudges against her father and sister <br> for involving the family with Sutpen.   [SOURCE: Rosa],36,1,NA,NA,NA,NA,96,NA,Plot,15
15508,9,10,9.02,10.01,0.9900000000000002,87,1838-01-01,1838-12-31,Rosa's narrative focuses for a moment on <br> her grudges against her father and sister <br> for involving the family with Sutpen.   [SOURCE: Rosa],36,1,NA,NA,NA,NA,96,NA,Story,96
15509,10,10,10.01,10.02,0.009999999999999787,283,1861-01-01,1865-04-09,"Rosa's narrative continues by describing Ellen's life <br> (and death) during the Civil War, amid <br> the Sutpen family's misfortunes.   [SOURCE: Rosa]",161,1,NA,NA,NA,NA,316,NA,Plot,16
15509,10,10,10.01,10.02,0.009999999999999787,283,1861-01-01,1865-04-09,"Rosa's narrative continues by describing Ellen's life <br> (and death) during the Civil War, amid <br> the Sutpen family's misfortunes.   [SOURCE: Rosa]",161,1,NA,NA,NA,NA,316,NA,Story,316
15510,10,10,10.02,10.03,0.009999999999999787,327,1863-01-01,1863-01-23,"Rosa's narrative isolates the moment when her <br> dying sister asked her, a mere child, <br> to protect her older niece.   [SOURCE: Rosa]",34,1,NA,NA,NA,NA,361,NA,Plot,17
15510,10,10,10.02,10.03,0.009999999999999787,327,1863-01-01,1863-01-23,"Rosa's narrative isolates the moment when her <br> dying sister asked her, a mere child, <br> to protect her older niece.   [SOURCE: Rosa]",34,1,NA,NA,NA,NA,361,NA,Story,361
15511,10,10,10.03,10.04,0.009999999999999787,88,1838-01-01,1838-12-31,Rosa's narrative returns to her grievance against <br> her sister for marrying Sutpen.   [SOURCE: Rosa],88,1,NA,NA,NA,NA,97,NA,Plot,18
15511,10,10,10.03,10.04,0.009999999999999787,88,1838-01-01,1838-12-31,Rosa's narrative returns to her grievance against <br> her sister for marrying Sutpen.   [SOURCE: Rosa],88,1,NA,NA,NA,NA,97,NA,Story,97
15512,10,11,10.04,11.01,0.9700000000000006,51,1833-06-01,1838-12-31,"Rosa's narrative circles back to the scene <br> of Sutpen's arrival in Jefferson, and briefly <br> describes the way he built his plantation. <br>   [SOURCE: Rosa]",187,1,NA,NA,NA,NA,58,NA,Plot,19
15512,10,11,10.04,11.01,0.9700000000000006,51,1833-06-01,1838-12-31,"Rosa's narrative circles back to the scene <br> of Sutpen's arrival in Jefferson, and briefly <br> describes the way he built his plantation. <br>   [SOURCE: Rosa]",187,1,NA,NA,NA,NA,58,NA,Story,58
15513,11,11,11.01,11.02,0.009999999999999787,106,1838-06-03,1838-06-30,Rosa explains Sutpen's marrying her sister by <br> contrasting the social respectability that her family <br> possessed with Sutpen's unwillingness to say anything <br> about his origins and history.   [SOURCE: Rosa],222,1,NA,NA,NA,NA,116,NA,Plot,20
15513,11,11,11.01,11.02,0.009999999999999787,106,1838-06-03,1838-06-30,Rosa explains Sutpen's marrying her sister by <br> contrasting the social respectability that her family <br> possessed with Sutpen's unwillingness to say anything <br> about his origins and history.   [SOURCE: Rosa],222,1,NA,NA,NA,NA,116,NA,Story,116
15514,11,11,11.02,12.01,0.9900000000000002,44,1833-06-01,1833-06-30,"Rosa returns to the moment of Sutpen's <br> arrival in Jefferson, interpreting the significance of <br> both his youth and the appearance of <br> ""those negroes of his"" (11).   [SOURCE: Rosa]",234,1,NA,NA,NA,NA,49,NA,Plot,21
15514,11,11,11.02,12.01,0.9900000000000002,44,1833-06-01,1833-06-30,"Rosa returns to the moment of Sutpen's <br> arrival in Jefferson, interpreting the significance of <br> both his youth and the appearance of <br> ""those negroes of his"" (11).   [SOURCE: Rosa]",234,1,NA,NA,NA,NA,49,NA,Story,49
15515,12,12,12.01,12.02,0.009999999999999787,121,1845-01-01,1865-12-31,"Rosa's narrative approaches her own relationship with <br> Sutpen circuitously, talking both about what she <br> had seen during the first 20 years <br> of her life, and about what happened <br> even before she was born.   [SOURCE: Rosa]",148,1,NA,NA,NA,NA,132,NA,Plot,22
15515,12,12,12.01,12.02,0.009999999999999787,121,1845-01-01,1865-12-31,"Rosa's narrative approaches her own relationship with <br> Sutpen circuitously, talking both about what she <br> had seen during the first 20 years <br> of her life, and about what happened <br> even before she was born.   [SOURCE: Rosa]",148,1,NA,NA,NA,NA,132,NA,Story,132
15521,12,12,12.02,12.03,0.009999999999999787,396,1866-04-01,1866-04-30,"Rosa says her life ended ""on an <br> afternoon in April forty-three years ago"" (12). <br>   [SOURCE: Rosa]",55,1,NA,NA,NA,NA,443,NA,Plot,23
15521,12,12,12.02,12.03,0.009999999999999787,396,1866-04-01,1866-04-30,"Rosa says her life ended ""on an <br> afternoon in April forty-three years ago"" (12). <br>   [SOURCE: Rosa]",55,1,NA,NA,NA,NA,443,NA,Story,443
15524,12,12,12.03,12.04,0.009999999999999787,138,1850-01-01,1866-04-23,"Rosa recapitulates the pattern of misfortune which <br> she blames on Sutpen, but admits she <br> nonetheless ""agreed to marry him"" (12).   [SOURCE: Rosa]",179,1,NA,NA,NA,NA,147,NA,Plot,24
15524,12,12,12.03,12.04,0.009999999999999787,138,1850-01-01,1866-04-23,"Rosa recapitulates the pattern of misfortune which <br> she blames on Sutpen, but admits she <br> nonetheless ""agreed to marry him"" (12).   [SOURCE: Rosa]",179,1,NA,NA,NA,NA,147,NA,Story,147
15527,12,13,12.04,13.01,0.9700000000000006,285,1861-01-01,1866-04-30,Rosa sets her willingness to marry Sutpen <br> in the context of the Civil War. <br>   [SOURCE: Rosa],435,1,NA,NA,NA,NA,318,NA,Plot,25
15527,12,13,12.04,13.01,0.9700000000000006,285,1861-01-01,1866-04-30,Rosa sets her willingness to marry Sutpen <br> in the context of the Civil War. <br>   [SOURCE: Rosa],435,1,NA,NA,NA,NA,318,NA,Story,318
15529,13,13,13.01,13.02,0.009999999999999787,483,1909-09-06,1909-09-06,Rosa interrupts her narrative to ask Quentin <br> a rhetorical question.   [SOURCE: Rosa],15,1,NA,540,NA,NA,NA,NA,Plot,26
15529,13,13,13.01,13.02,0.009999999999999787,483,1909-09-06,1909-09-06,Rosa interrupts her narrative to ask Quentin <br> a rhetorical question.   [SOURCE: Rosa],15,1,NA,540,NA,NA,NA,NA,Story,540
15537,13,14,13.02,14.01,0.9900000000000002,103,1838-06-02,1838-06-30,"Rosa returns to the marriage between Ellen <br> and Sutpen, blaming it on her father; <br> the role played by the church in <br> this event leads her to wonder if <br> both her family and ""the South"" have <br> been cursed by God (14).   [SOURCE: Rosa]",391,1,NA,NA,NA,NA,112,NA,Plot,27
15537,13,14,13.02,14.01,0.9900000000000002,103,1838-06-02,1838-06-30,"Rosa returns to the marriage between Ellen <br> and Sutpen, blaming it on her father; <br> the role played by the church in <br> this event leads her to wonder if <br> both her family and ""the South"" have <br> been cursed by God (14).   [SOURCE: Rosa]",391,1,NA,NA,NA,NA,112,NA,Story,112
15541,14,14,14.01,14.02,0.009999999999999787,135,1850-01-01,1863-12-31,"Rosa describes her visits as a child <br> to Sutpen's, and her sister's dying request, <br> and wonders again ""what crime"" her ancestors <br> committed to bring on this curse (14). <br>   [SOURCE: Rosa]",149,1,NA,NA,NA,NA,144,NA,Plot,28
15541,14,14,14.01,14.02,0.009999999999999787,135,1850-01-01,1863-12-31,"Rosa describes her visits as a child <br> to Sutpen's, and her sister's dying request, <br> and wonders again ""what crime"" her ancestors <br> committed to bring on this curse (14). <br>   [SOURCE: Rosa]",149,1,NA,NA,NA,NA,144,NA,Story,144
15542,14,15,14.02,15.01,0.9900000000000002,484,1909-09-06,1909-09-06,"In a break in Rosa's narrative, Quentin <br> has a vision of her as ""a <br> little girl"" (14).     [SOURCE: Narrator]",135,1,NA,541,NA,NA,NA,NA,Plot,29
15542,14,15,14.02,15.01,0.9900000000000002,484,1909-09-06,1909-09-06,"In a break in Rosa's narrative, Quentin <br> has a vision of her as ""a <br> little girl"" (14).     [SOURCE: Narrator]",135,1,NA,541,NA,NA,NA,NA,Story,541
15543,15,15,15.01,15.02,0.009999999999999787,136,1850-01-01,1863-12-31,"Rosa complains she was born ""too late,"" <br> remembering her strained childhood and returning to <br> the moment when her dying sister asked <br> for her help (15).   [SOURCE: Rosa]",168,1,NA,NA,NA,NA,145,NA,Plot,30
15543,15,15,15.01,15.02,0.009999999999999787,136,1850-01-01,1863-12-31,"Rosa complains she was born ""too late,"" <br> remembering her strained childhood and returning to <br> the moment when her dying sister asked <br> for her help (15).   [SOURCE: Rosa]",168,1,NA,NA,NA,NA,145,NA,Story,145
15545,15,15,15.02,15.03,0.009999999999999787,485,1909-09-06,1909-09-06,"Listening to ""the talking, the telling"" in <br> Rosa's dark room, Quentin feels as if <br> he is experiencing ""a dream"" (15).     [SOURCE: Narrator]",119,1,NA,542,NA,NA,NA,NA,Plot,31
15545,15,15,15.02,15.03,0.009999999999999787,485,1909-09-06,1909-09-06,"Listening to ""the talking, the telling"" in <br> Rosa's dark room, Quentin feels as if <br> he is experiencing ""a dream"" (15).     [SOURCE: Narrator]",119,1,NA,542,NA,NA,NA,NA,Story,542
15546,15,16,15.03,16.01,0.9800000000000022,123,1848-01-01,1848-12-31,"Rosa recalls the first time she remembers <br> seeing Sutpen and Ellen and their children: <br> a Sunday when she was three and <br> their carriage arrived at church in ""a <br> fury of wildeyed horses"" and ""dust"" (16). <br>   [SOURCE: Rosa]",559,1,NA,NA,NA,NA,134,NA,Plot,32
15546,15,16,15.03,16.01,0.9800000000000022,123,1848-01-01,1848-12-31,"Rosa recalls the first time she remembers <br> seeing Sutpen and Ellen and their children: <br> a Sunday when she was three and <br> their carriage arrived at church in ""a <br> fury of wildeyed horses"" and ""dust"" (16). <br>   [SOURCE: Rosa]",559,1,NA,NA,NA,NA,134,NA,Story,134
15549,16,17,16.01,17.01,1,124,1848-01-08,1848-12-31,"Rosa explains how Sutpen stopped coming to <br> church after the minister spoke to him <br> about the racing, but the racing continued, <br> instigated by ""the negro"" (17).   [SOURCE: Rosa]",290,1,NA,NA,NA,NA,135,NA,Plot,33
15549,16,17,16.01,17.01,1,124,1848-01-08,1848-12-31,"Rosa explains how Sutpen stopped coming to <br> church after the minister spoke to him <br> about the racing, but the racing continued, <br> instigated by ""the negro"" (17).   [SOURCE: Rosa]",290,1,NA,NA,NA,NA,135,NA,Story,135
15551,17,17,17.01,17.02,0.00999999999999801,125,1848-01-15,1848-12-31,Rosa recalls overhearing a conversation about the <br> carriage racing between her aunt and her <br> father.   [SOURCE: Rosa],78,1,NA,136,NA,NA,NA,NA,Plot,34
15551,17,17,17.01,17.02,0.00999999999999801,125,1848-01-15,1848-12-31,Rosa recalls overhearing a conversation about the <br> carriage racing between her aunt and her <br> father.   [SOURCE: Rosa],78,1,NA,136,NA,NA,NA,NA,Story,136
15552,17,18,17.02,18.01,0.990000000000002,126,1848-01-15,1848-12-31,"When Ellen replaces the carriage and the <br> driver to prevent racing, it is Judith <br> - ""not the boy . . . <br> [but] the girl"" (18) - who throws <br> a tantrum.   [SOURCE: Rosa]",171,1,NA,NA,NA,NA,137,NA,Plot,35
15552,17,18,17.02,18.01,0.990000000000002,126,1848-01-15,1848-12-31,"When Ellen replaces the carriage and the <br> driver to prevent racing, it is Judith <br> - ""not the boy . . . <br> [but] the girl"" (18) - who throws <br> a tantrum.   [SOURCE: Rosa]",171,1,NA,NA,NA,NA,137,NA,Story,137
15553,18,19,18.01,19.01,1,129,1849-01-01,1849-12-31,"Rosa recalls the first time she remembers <br> going into Sutpen's house, when she was <br> four; there she overhears a conversation between <br> her father and her sister.   [SOURCE: Rosa]",736,1,NA,NA,NA,NA,140,NA,Plot,36
15553,18,19,18.01,19.01,1,129,1849-01-01,1849-12-31,"Rosa recalls the first time she remembers <br> going into Sutpen's house, when she was <br> four; there she overhears a conversation between <br> her father and her sister.   [SOURCE: Rosa]",736,1,NA,NA,NA,NA,140,NA,Story,140
15554,19,20,19.01,20.01,1,130,1849-01-01,1855-12-12,"Rosa sums up the next six years <br> in her childhood, mentioning the absence of <br> her aunt, and the occasional visits from <br> Ellen to the Coldfield house, where Rosa <br> is ""keeping house for papa"" (19).   [SOURCE: Rosa]",247,1,NA,NA,NA,NA,141,NA,Plot,37
15554,19,20,19.01,20.01,1,130,1849-01-01,1855-12-12,"Rosa sums up the next six years <br> in her childhood, mentioning the absence of <br> her aunt, and the occasional visits from <br> Ellen to the Coldfield house, where Rosa <br> is ""keeping house for papa"" (19).   [SOURCE: Rosa]",247,1,NA,NA,NA,NA,141,NA,Story,141
15555,20,20,20.01,20.02,0.00999999999999801,131,1849-01-01,1855-12-31,"Rosa describes the wrestling matches at Sutpen's <br> between ""two of his wild negroes"" (20), <br> and the men from town who came <br> to watch.   [SOURCE: Rosa]",221,1,NA,NA,NA,NA,142,NA,Plot,38
15555,20,20,20.01,20.02,0.00999999999999801,131,1849-01-01,1855-12-31,"Rosa describes the wrestling matches at Sutpen's <br> between ""two of his wild negroes"" (20), <br> and the men from town who came <br> to watch.   [SOURCE: Rosa]",221,1,NA,NA,NA,NA,142,NA,Story,142
15556,20,22,20.02,23.01,2.990000000000002,142,1855-01-01,1855-12-31,"Rosa describes the one night when Ellen <br> went down to the stable to see <br> her husband wrestling a slave while their <br> son ""screamed and vomited"" (21), and Judith <br> watched from ""the loft"" - along with <br> a ""negro girl"" who also had the <br> face of a Sutpen (22).  [SOURCE: Rosa]",645,1,NA,NA,NA,NA,153,NA,Plot,39
15556,20,22,20.02,23.01,2.990000000000002,142,1855-01-01,1855-12-31,"Rosa describes the one night when Ellen <br> went down to the stable to see <br> her husband wrestling a slave while their <br> son ""screamed and vomited"" (21), and Judith <br> watched from ""the loft"" - along with <br> a ""negro girl"" who also had the <br> face of a Sutpen (22).  [SOURCE: Rosa]",645,1,NA,NA,NA,NA,153,NA,Story,153
15557,23,23,23.01,23.02,0.00999999999999801,494,1909-09-06,1909-09-06,"The scene shifts to the ""front gallery"" <br> (i.e. the porch) of the Compson house, <br> where Quentin and Mr. Compson sit in <br> the ""twilight"" (23).  [SOURCE: Narrator]",55,2,Mr. Compson narrates,552,NA,NA,NA,NA,Plot,40
15557,23,23,23.01,23.02,0.00999999999999801,494,1909-09-06,1909-09-06,"The scene shifts to the ""front gallery"" <br> (i.e. the porch) of the Compson house, <br> where Quentin and Mr. Compson sit in <br> the ""twilight"" (23).  [SOURCE: Narrator]",55,2,Mr. Compson narrates,552,NA,NA,NA,NA,Story,552
15558,23,23,23.02,23.03,0.010000000000001563,524,1910-01-13,1910-01-13,"The narrative anticipates the time, ""five months <br> later,"" when Mr. Compson's letter reaches Quentin <br> at Harvard (23).  [SOURCE: Narrator]",38,2,NA,590,NA,NA,NA,NA,Plot,41
15558,23,23,23.02,23.03,0.010000000000001563,524,1910-01-13,1910-01-13,"The narrative anticipates the time, ""five months <br> later,"" when Mr. Compson's letter reaches Quentin <br> at Harvard (23).  [SOURCE: Narrator]",38,2,NA,590,NA,NA,NA,NA,Story,590
15559,23,23,23.03,23.04,0.00999999999999801,47.9,1833-06-01,1909-09-06,"The narrative connects Sutpen's arrival in Jefferson <br> with Quentin's life by noting that he <br> ""still breathed the same air"" and even <br> ""heard one of the original three [church] <br> bells"" that rang on ""that Sunday morning <br> in 1833"" (23).   [SOURCE: Narrator]",78,2,NA,54,NA,NA,NA,NA,Plot,42
15559,23,23,23.03,23.04,0.00999999999999801,47.9,1833-06-01,1909-09-06,"The narrative connects Sutpen's arrival in Jefferson <br> with Quentin's life by noting that he <br> ""still breathed the same air"" and even <br> ""heard one of the original three [church] <br> bells"" that rang on ""that Sunday morning <br> in 1833"" (23).   [SOURCE: Narrator]",78,2,NA,54,NA,NA,NA,NA,Story,54
15560,23,24,23.04,24.01,0.9700000000000024,43,1833-06-01,1833-06-30,"The narrator describes Sutpen's arrival in Jefferson, <br> and the appearance of the town, in <br> 1833; this revises what the narrator had <br> said about that arrival in Chapter 1. <br>  [SOURCE: Narrator]",241,2,NA,48,NA,NA,NA,NA,Plot,43
15560,23,24,23.04,24.01,0.9700000000000024,43,1833-06-01,1833-06-30,"The narrator describes Sutpen's arrival in Jefferson, <br> and the appearance of the town, in <br> 1833; this revises what the narrator had <br> said about that arrival in Chapter 1. <br>  [SOURCE: Narrator]",241,2,NA,48,NA,NA,NA,NA,Story,48
15561,24,24,24.01,24.02,0.00999999999999801,57,1833-07-01,1833-07-31,"The narrative anticipates Sutpen's first month in <br> Jefferson.  [SOURCE: Narrator, Town]",15,2,NA,64,NA,NA,NA,NA,Plot,44
15561,24,24,24.01,24.02,0.00999999999999801,57,1833-07-01,1833-07-31,"The narrative anticipates Sutpen's first month in <br> Jefferson.  [SOURCE: Narrator, Town]",15,2,NA,64,NA,NA,NA,NA,Story,64
15562,24,24,24.02,24.03,0.010000000000001563,45,1833-06-01,1833-06-30,"The narrative sums up the way Sutpen <br> looked to the town when he first <br> arrived: ""like a man who had been <br> through some solitary furnace experience"" (24).  [SOURCE: Narrator]",254,2,NA,50,NA,NA,NA,NA,Plot,45
15562,24,24,24.02,24.03,0.010000000000001563,45,1833-06-01,1833-06-30,"The narrative sums up the way Sutpen <br> looked to the town when he first <br> arrived: ""like a man who had been <br> through some solitary furnace experience"" (24).  [SOURCE: Narrator]",254,2,NA,50,NA,NA,NA,NA,Story,50
15563,24,24,24.03,24.04,0.00999999999999801,83,1835-01-01,1840-12-31,"The narrative anticipates what ""the town learned"" <br> about Sutpen's first arrival ""years"" afterwards (24). <br>  [SOURCE: Narrator, Town]",18,2,NA,92,NA,NA,NA,NA,Plot,46
15563,24,24,24.03,24.04,0.00999999999999801,83,1835-01-01,1840-12-31,"The narrative anticipates what ""the town learned"" <br> about Sutpen's first arrival ""years"" afterwards (24). <br>  [SOURCE: Narrator, Town]",18,2,NA,92,NA,NA,NA,NA,Story,92
15564,24,24,24.04,24.05,0.010000000000001563,46,1833-06-01,1833-06-30,The narrative describes what the town saw <br> when Sutpen first arrived.  [SOURCE: Narrator],29,2,NA,51,NA,NA,NA,NA,Plot,47
15564,24,24,24.04,24.05,0.010000000000001563,46,1833-06-01,1833-06-30,The narrative describes what the town saw <br> when Sutpen first arrived.  [SOURCE: Narrator],29,2,NA,51,NA,NA,NA,NA,Story,51
15565,24,24,24.05,24.06,0.00999999999999801,477.4,1909-09-06,1909-09-06,In the middle of describing Sutpen's first <br> appearance in June 1833 the narrative recalls <br> (and jumps ahead to) what Rosa had <br> described to Quentin in September 1909.  [SOURCE: Narrator],6,2,NA,534,NA,NA,NA,NA,Plot,48
15565,24,24,24.05,24.06,0.00999999999999801,477.4,1909-09-06,1909-09-06,In the middle of describing Sutpen's first <br> appearance in June 1833 the narrative recalls <br> (and jumps ahead to) what Rosa had <br> described to Quentin in September 1909.  [SOURCE: Narrator],6,2,NA,534,NA,NA,NA,NA,Story,534
15566,24,27,24.06,25.01,0.9500000000000028,53,1833-06-04,1833-07-31,"The narrative describes Sutpen's pistols, and the <br> demonstration he gave of his prowess with <br> them.  [SOURCE: Narrator, Grandfather]",44,2,NA,60,NA,NA,NA,NA,Plot,49
15566,24,27,24.06,25.01,0.9500000000000028,53,1833-06-04,1833-07-31,"The narrative describes Sutpen's pistols, and the <br> demonstration he gave of his prowess with <br> them.  [SOURCE: Narrator, Grandfather]",44,2,NA,60,NA,NA,NA,NA,Story,60
15567,25,25,25.01,25.02,0.00999999999999801,50,1833-06-03,1833-07-31,"While Sutpen stays at the Holston House, <br> the men of Jefferson try to learn <br> more about him.  [SOURCE: Narrator, Town]",188,2,NA,57,NA,NA,NA,NA,Plot,50
