absalom_eventid,absalom_startdate,absalom_summary,absalom_chapter,absalom_y_narrated,absalom_y_hypothesized,absalom_y_narratedconsciousness,absalom_y_told,absalom_y_remembered,absalom_y_all,absalom_y_other,absalom_x_plot,absalom_x_story,absalom_textposition_plot,absalom_textposition_story,absalom_label,x_sutpen_plot,x_sutpen_story,y_sutpen,series_sutpen_plot,series_sutpen_story,sutpen_label,textposition_sutpen_plot,textposition_sutpen_story
15506,1909-09-06,"As Quentin continues to listen to Rosa, <br> while somehow ""remembering"" what his father will <br> say later that day, the evoked ghosts <br> of Sutpen and Ellen morph into an <br> imagined photograph of the four Sutpens - <br> Thomas, Ellen, Judith and Henry - as <br> a ""conventional family group"" (9), juxtaposed to <br> the outraged voice of Rosa talking to <br> him in the same room.  [SOURCE: Narrator]",1,,,539,,,539,539,13,539,,,,,,,,,,,
15507,1833-06-01,"Rosa narrates, with a lot of repetition <br> and many chronological discontinuities, her version of <br> the Sutpen story, starting with Sutpen's arrival <br> as an apparent fugitive without past or <br> pedigree.    [SOURCE: Rosa]",1,,,,52,,52,,14,52,"""middle right""","""top left""",Sutpen arrives,,,,,,,,
15508,1838-01-01,Rosa's narrative focuses for a moment on <br> her grudges against her father and sister <br> for involving the family with Sutpen.   [SOURCE: Rosa],1,,,,96,,96,,15,96,,,,,,,,,,,
15509,1861-01-01,"Rosa's narrative continues by describing Ellen's life <br> (and death) during the Civil War, amid <br> the Sutpen family's misfortunes.   [SOURCE: Rosa]",1,,,,316,,316,,16,316,,,,,,,,,,,
15510,1863-01-01,"Rosa's narrative isolates the moment when her <br> dying sister asked her, a mere child, <br> to protect her older niece.   [SOURCE: Rosa]",1,,,,361,,361,,17,361,,,,,,,,,,,
15511,1838-01-01,Rosa's narrative returns to her grievance against <br> her sister for marrying Sutpen.   [SOURCE: Rosa],1,,,,97,,97,,18,97,,,,,,,,,,,
15512,1833-06-01,"Rosa's narrative circles back to the scene <br> of Sutpen's arrival in Jefferson, and briefly <br> describes the way he built his plantation. <br>   [SOURCE: Rosa]",1,,,,58,,58,,19,58,,,,,,,,,,,
15513,1838-06-03,Rosa explains Sutpen's marrying her sister by <br> contrasting the social respectability that her family <br> possessed with Sutpen's unwillingness to say anything <br> about his origins and history.   [SOURCE: Rosa],1,,,,116,,116,,20,116,,,,,,,,,,,
15514,1833-06-01,"Rosa returns to the moment of Sutpen's <br> arrival in Jefferson, interpreting the significance of <br> both his youth and the appearance of <br> ""those negroes of his"" (11).   [SOURCE: Rosa]",1,,,,49,,49,,21,49,,,,,,,,,,,
15515,1845-01-01,"Rosa's narrative approaches her own relationship with <br> Sutpen circuitously, talking both about what she <br> had seen during the first 20 years <br> of her life, and about what happened <br> even before she was born.   [SOURCE: Rosa]",1,,,,132,,132,,22,132,,,,,,,,,,,
15521,1866-04-01,"Rosa says her life ended ""on an <br> afternoon in April forty-three years ago"" (12). <br>   [SOURCE: Rosa]",1,,,,443,,443,,23,443,,,,,,,,,,,
15524,1850-01-01,"Rosa recapitulates the pattern of misfortune which <br> she blames on Sutpen, but admits she <br> nonetheless ""agreed to marry him"" (12).   [SOURCE: Rosa]",1,,,,147,,147,,24,147,,,,,,,,,,,
15527,1861-01-01,Rosa sets her willingness to marry Sutpen <br> in the context of the Civil War. <br>   [SOURCE: Rosa],1,,,,318,,318,,25,318,,,,,,,,,,,
15529,1909-09-06,Rosa interrupts her narrative to ask Quentin <br> a rhetorical question.   [SOURCE: Rosa],1,540,,,,,540,,26,540,,,,,,,,,,,
15537,1838-06-02,"Rosa returns to the marriage between Ellen <br> and Sutpen, blaming it on her father; <br> the role played by the church in <br> this event leads her to wonder if <br> both her family and ""the South"" have <br> been cursed by God (14).   [SOURCE: Rosa]",1,,,,112,,112,,27,112,,,,,,,,,,,
15541,1850-01-01,"Rosa describes her visits as a child <br> to Sutpen's, and her sister's dying request, <br> and wonders again ""what crime"" her ancestors <br> committed to bring on this curse (14). <br>   [SOURCE: Rosa]",1,,,,144,,144,,28,144,,,,,,,,,,,
15542,1909-09-06,"In a break in Rosa's narrative, Quentin <br> has a vision of her as ""a <br> little girl"" (14).     [SOURCE: Narrator]",1,541,,,,,541,,29,541,,,,,,,,,,,
15543,1850-01-01,"Rosa complains she was born ""too late,"" <br> remembering her strained childhood and returning to <br> the moment when her dying sister asked <br> for her help (15).   [SOURCE: Rosa]",1,,,,145,,145,,30,145,,,,,,,,,,,
15545,1909-09-06,"Listening to ""the talking, the telling"" in <br> Rosa's dark room, Quentin feels as if <br> he is experiencing ""a dream"" (15).     [SOURCE: Narrator]",1,542,,,,,542,,31,542,,,,,,,,,,,
15546,1848-01-01,"Rosa recalls the first time she remembers <br> seeing Sutpen and Ellen and their children: <br> a Sunday when she was three and <br> their carriage arrived at church in ""a <br> fury of wildeyed horses"" and ""dust"" (16). <br>   [SOURCE: Rosa]",1,,,,134,,134,,32,134,,,,,,,,,,,
15549,1848-01-08,"Rosa explains how Sutpen stopped coming to <br> church after the minister spoke to him <br> about the racing, but the racing continued, <br> instigated by ""the negro"" (17).   [SOURCE: Rosa]",1,,,,135,,135,,33,135,,,,,,,,,,,
15551,1848-01-15,Rosa recalls overhearing a conversation about the <br> carriage racing between her aunt and her <br> father.   [SOURCE: Rosa],1,136,,,,,136,,34,136,,,,,,,,,,,
15552,1848-01-15,"When Ellen replaces the carriage and the <br> driver to prevent racing, it is Judith <br> - ""not the boy . . . <br> [but] the girl"" (18) - who throws <br> a tantrum.   [SOURCE: Rosa]",1,,,,137,,137,,35,137,,,,,,,,,,,
15553,1849-01-01,"Rosa recalls the first time she remembers <br> going into Sutpen's house, when she was <br> four; there she overhears a conversation between <br> her father and her sister.   [SOURCE: Rosa]",1,,,,140,,140,,36,140,,,,,,,,,,,
15554,1849-01-01,"Rosa sums up the next six years <br> in her childhood, mentioning the absence of <br> her aunt, and the occasional visits from <br> Ellen to the Coldfield house, where Rosa <br> is ""keeping house for papa"" (19).   [SOURCE: Rosa]",1,,,,141,,141,,37,141,,,,,,,,,,,
15555,1849-01-01,"Rosa describes the wrestling matches at Sutpen's <br> between ""two of his wild negroes"" (20), <br> and the men from town who came <br> to watch.   [SOURCE: Rosa]",1,,,,142,,142,,38,142,,,,,,,,,,,
15556,1855-01-01,"Rosa describes the one night when Ellen <br> went down to the stable to see <br> her husband wrestling a slave while their <br> son ""screamed and vomited"" (21), and Judith <br> watched from ""the loft"" - along with <br> a ""negro girl"" who also had the <br> face of a Sutpen (22).  [SOURCE: Rosa]",1,,,,153,,153,,39,153,,,,,,,,,,,
15557,1909-09-06,"The scene shifts to the ""front gallery"" <br> (i.e. the porch) of the Compson house, <br> where Quentin and Mr. Compson sit in <br> the ""twilight"" (23).  [SOURCE: Narrator]",2,552,,,,,552,,40,552,"""top right""","""middle left""",Mr. Compson narrates,,,,,,,,
15558,1910-01-13,"The narrative anticipates the time, ""five months <br> later,"" when Mr. Compson's letter reaches Quentin <br> at Harvard (23).  [SOURCE: Narrator]",2,590,,,,,590,,41,590,,,,,,,,,,,
15559,1833-06-01,"The narrative connects Sutpen's arrival in Jefferson <br> with Quentin's life by noting that he <br> ""still breathed the same air"" and even <br> ""heard one of the original three [church] <br> bells"" that rang on ""that Sunday morning <br> in 1833"" (23).   [SOURCE: Narrator]",2,54,,,,,54,,42,54,,,,,,,,,,,
15560,1833-06-01,"The narrator describes Sutpen's arrival in Jefferson, <br> and the appearance of the town, in <br> 1833; this revises what the narrator had <br> said about that arrival in Chapter 1. <br>  [SOURCE: Narrator]",2,48,,,,,48,,43,48,,,,,,,,,,,
15561,1833-07-01,"The narrative anticipates Sutpen's first month in <br> Jefferson.  [SOURCE: Narrator, Town]",2,64,,,,,64,,44,64,,,,,,,,,,,
15562,1833-06-01,"The narrative sums up the way Sutpen <br> looked to the town when he first <br> arrived: ""like a man who had been <br> through some solitary furnace experience"" (24).  [SOURCE: Narrator]",2,50,,,,,50,,45,50,,,,,,,,,,,
15563,1835-01-01,"The narrative anticipates what ""the town learned"" <br> about Sutpen's first arrival ""years"" afterwards (24). <br>  [SOURCE: Narrator, Town]",2,92,,,,,92,,46,92,,,,,,,,,,,
15564,1833-06-01,The narrative describes what the town saw <br> when Sutpen first arrived.  [SOURCE: Narrator],2,51,,,,,51,,47,51,,,,,,,,,,,
15565,1909-09-06,In the middle of describing Sutpen's first <br> appearance in June 1833 the narrative recalls <br> (and jumps ahead to) what Rosa had <br> described to Quentin in September 1909.  [SOURCE: Narrator],2,534,,,,,534,,48,534,,,,,,,,,,,
15566,1833-06-04,"The narrative describes Sutpen's pistols, and the <br> demonstration he gave of his prowess with <br> them.  [SOURCE: Narrator, Grandfather]",2,60,,,,,60,,49,60,,,,,,,,,,,
15567,1833-06-03,"While Sutpen stays at the Holston House, <br> the men of Jefferson try to learn <br> more about him.  [SOURCE: Narrator, Town]",2,57,,,,,57,,50,57,,,,,,,,,,,
15568,1840-01-01,"The narrative anticipates two events ""years later"": <br> when General Compson understood why Sutpen never <br> drank in 1833, and when Compson became <br> ""General Compson"" (25).  [SOURCE: Narrator, Grandfather]",2,126,,,,,126,,51,126,,,,,,,,,,,
15569,1833-06-01,"""It was General Compson"" who first realizes <br> how driven Sutpen was during the years <br> between his arrival and the birth of <br> his son (25).  (The confusing chronological references in this passage <br> seem deliberate: does it describe something that <br> happened after Compson became ""General Compson"" in <br> 1864-1865? or something that happened ""at this <br> time"" in 1833-1839 - decades before Compson <br> became ""General Compson""?)  [SOURCE: Narrator, Grandfather]",2,59,,,,,59,,52,59,,,,,,,,,,,
15570,1833-06-02,"The men in the Holston House continue <br> trying, unsuccessfully, to learn ""who [Sutpen] was <br> and where he came from and what <br> he was up to"" (25).    [SOURCE: Narrator]",2,56,,,,,56,,53,56,,,,,,,,,,,
15571,1833-06-07,"On a Saturday night, Sutpen records a <br> deed to ""a hundred square miles of <br> some of the best virgin bottom land <br> in the county"" (26).  [SOURCE: Narrator, Town]",2,61,,,,,61,,54,61,,,,,,,,,,,
15572,1833-06-08,"Sutpen leaves town.  In his absence the men discuss what <br> it means that he has become a <br> land owner.    [SOURCE: Narrator, Grandfather]",2,63,,,,,63,,55,63,,,,,,,,,,,
15574,1909-09-06,"The narrative jumps ahead from Sutpen's first <br> summer in Jefferson to the story Rosa <br> tells Quentin ""almost eighty years later"" (26). <br>  [SOURCE: Narrator]",2,533,,,,,533,,56,533,,,,,,,,,,,
15575,1833-08-01,"Two months after registering his deed, Sutpen <br> returns to Jefferson with the wagon full <br> of enslaved people and the French architect. <br>  Over the next two years they build <br> Sutpen's plantation house.  (Note: this revises or contradicts the date <br> the narrator gave for Sutpen's arrival with <br> slaves and architect in Chapter 1.)  [SOURCE: Narrator, Rosa, Town]",2,65,,,,,65,,57,65,,,,,,,,,,,
15576,1837-01-01,"Although the French architect only passes through <br> Jefferson twice in two years, ""years later"" <br> the town learns more about him.  [SOURCE: Narrator, Town]",2,95,,,,,95,,58,95,,,,,,,,,,,
15577,1833-08-01,"When Sutpen passes through Jefferson the second <br> time, someone discovers that his wagon is <br> full of slaves.  [SOURCE: Narrator, Town]",2,66,,,,,66,,59,66,,,,,,,,,,,
15578,1840-01-01,"""Later"" Sutpen explains his haste on the <br> day of his second arrival in Jefferson <br> (27).  [SOURCE: Narrator, Grandfather]",2,,,,125,,125,,60,125,,,,,,,,,,,
15579,1833-08-02,"Men from the town go out to <br> Sutpen's to watch as he and his <br> slaves, all of them naked and covered <br> with mud, built his plantation house.    [SOURCE: Narrator, Rosa, Father, Grandfather, Town]",2,67,,,,,67,,61,67,,,,,,,,,,,
15580,1833-09-01,"It took two years to build the <br> house at Sutpen's Hundred.    [SOURCE: Narrator, Grandfather, Town]",2,68,,,,,68,,62,68,,,,,,,,,,,
15582,1909-09-06,"Quentin has seen the Sutpen house ""seventy-five <br> years after it was finished"" (29) - <br> which would be 1910, when Quentin is <br> in Massachusetts.  Presumably the reference is to the trip <br> Quentin takes with Rosa in September 1909. <br>  [SOURCE: Narrator]",2,573,,,,,573,,63,573,,,,,,,,,,,
15583,1833-09-01,"General Compson expresses his admiration for what <br> Sutpen's architect - an ""artist"" - was <br> able to accomplish in the face of <br> environmental circumstances and Sutpen's own ""over-weening vanity"" <br> (29).  [SOURCE: Narrator, Grandfather]",2,69,,,,,69,,64,69,,,,,,,,,,,
15584,1834-06-04,A parenthetical reference that implies what General <br> Compson would learn later about Sutpen's ambition. <br>    [SOURCE: Narrator],2,88,,,,,88,,65,88,,,,,,,,,,,
15585,1835-01-01,"""For three years"" Sutpen lives on his <br> plantation, unfinished but with ""slave quarters and <br> stables and smokehouses"" and with cotton grown <br> from seed provided by General Compson (29). <br>  He invites ""parties of men"" who hunt <br> and drink in a very ""masculine"" existence <br> (30).  [SOURCE: Narrator, Rosa, Grandfather, Town]",2,90,,,,,90,,66,90,,,,,,,,,,,
15586,1838-01-01,"On another Sunday morning, Sutpen comes into <br> Jefferson - this time to attend services <br> at ""the Methodist church"" (31).  The town believes he has come to <br> find a wife, but is surprised when <br> he seems to single out Goodhue Coldfield, <br> forgetting that he has ""a marriageable daughter"" <br> (32).  [SOURCE: Narrator, Town]",2,98,,,,,98,,67,98,,,,,,,,,,,
15587,1838-01-02,"Sutpen brings an end to the ""hunting <br> parties,"" and begins coming into Jefferson more <br> frequently.    [SOURCE: Narrator, Town]",2,99,,,,,99,,68,99,,,,,,,,,,,
15588,1838-01-03,"Mr. Compson takes over telling the story <br> from the third-person narrator, describing Sutpen leaving <br> town ""for the second time"" (33).  [SOURCE: Narrator]",2,100,,,,,100,,69,100,,,,,,,,,,,
15589,1838-04-01,"Three months after leaving Yoknapatawpha again, Sutpen <br> returns with three wagon loads of furnishings <br> for his house.  The town knows that Goodhue Coldfield is <br> somehow involved in their acquisition, but their <br> suspicions about how Sutpen got them turn <br> him into ""a public enemy"" (33).  [SOURCE: Father, Town]",2,,,,101,,101,,70,101,,,,,,,,,,,
15590,1838-04-02,"On their way out to Sutpen's Hundred, <br> the sheriff and his posse meet Sutpen <br> riding in to town.  [SOURCE: Father, Grandfather]",2,,,,102,,102,,71,102,,,,,,,,,,,
15591,1838-04-02,"Followed by the posse, Sutpen reaches town <br> and ""commands a chamber"" in the Holston <br> House (35).  [SOURCE: Father, Grandfather, Town]",2,,,,103,,103,,72,103,,,,,,,,,,,
15592,1838-04-02,"Holding a bouquet of flowers, with the <br> posse following him growing and others in <br> Jefferson watching, Sutpen crosses the square to <br> Coldfield's house.  [SOURCE: Father, Grandfather]",2,,,,104,,104,,73,104,,,,,,,,,,,
15593,1838-04-02,"When Sutpen comes out of Coldfield's house, <br> without the flowers, the sheriff's posse arrests <br> him.  [SOURCE: Father]",2,,,,105,,105,,74,105,,,,,,,,,,,
15594,1838-04-02,"With almost everyone in town surrounding him, <br> Sutpen is arraigned ""before a justice,"" then <br> bailed out by Coldfield and General Compson <br> (36). [SOURCE: Father]",2,,,,106,,106,,75,106,,,,,,,,,,,
15595,1838-04-02,"After his bail is paid, Sutpen goes <br> to Coldfield's house.  Mr. Compson pauses the narrative briefly, to <br> comment on what his father told him <br> about Sutpen's appearance on that day, and <br> how it has changed over the last <br> five years.  [SOURCE: Father, Grandfather]",2,,,,107,,107,,76,107,,,,,,,,,,,
15596,1838-06-03,"Mr. Compson anticipates his story by discussing <br> Ellen's wedding to Sutpen, including all her <br> tears on the occasion.  [SOURCE: Father]",2,,,,118,,118,,77,118,,,,,,,,,,,
15597,1838-04-03,"Mr. Compson explores Coldfield's ambivalent attitude toward <br> the wedding; it was not his idea <br> to have ""a big wedding"" (37).  [SOURCE: Father]",2,,,,108,,108,,78,108,,,,,,,,,,,
15598,1838-06-03,"Mr. Compson again briefly describes Sutpen's wedding, <br> emphasizing how few people were inside the <br> church and the mob that was outside <br> it.    [SOURCE: Father]",2,,,,119,,119,,79,119,,,,,,,,,,,
15599,1838-04-03,"Mr. Compson again discusses the plans for <br> the wedding, concluding that it was Ellen's <br> aunt who insisted on a big wedding; <br> although Sutpen also wanted that, ""as the <br> time drew near"" he became ""watchful"" (40). <br>    [SOURCE: Father, Rosa, Town]",2,109,,,,,109,,80,109,,,,,,,,,,,
15600,1820-03-01,"Mr. Compson suddenly anticipates the narrative by <br> evoking the novel's distant past to mention <br> how Sutpen ""turned his back on all <br> that he knew"" when he was just <br> fourteen (40). [SOURCE: Father]",2,17,,,,,17,,81,17,,,,,,,,,,,
15601,1855-01-01,"Mr. Compson interrupts his own narrative interruption <br> to refer to what Rosa told Quentin <br> that afternoon, about Henry's traumatic reaction to <br> the scene ""in the stable"" when he <br> too was fourteen (40).    [SOURCE: Father, Rosa]",2,154,,,,,154,,82,154,,,,,,,,,,,
15602,1821-01-01,"Mr. Compson resumes his enigmatic reference to <br> Sutpen's life before he came to Yoknapatawpha: <br> ""in a country and among a people <br> whose very language he had to learn,"" <br> he ""made that mistake"" which ""became his <br> doom"" (41).  [SOURCE: Father]",2,19,,,,,19,,83,19,,,,,,,,,,,
15603,1838-05-01,"Mr. Compson speculates on Sutpen's state of <br> mind as the date of the wedding <br> approaches, and his anxiety about the size <br> of the wedding.  [SOURCE: Father]",2,110,,,,,110,,84,110,,,,,,,,,,,
15604,1838-06-01,"None of the invited guests attend the <br> wedding rehearsal, but there is a disreputable <br> group of men outside the church.  [SOURCE: Father]",2,111,,,,,111,,85,111,,,,,,,,,,,
15605,1838-06-02,"The day after the rehearsal, Coldfield's sister <br> becomes determined to have the big wedding <br> on schedule.  [SOURCE: Father]",2,113,,,,,113,,86,113,,,,,,,,,,,
15606,1838-06-03,"Coldfield's sister takes a new set of <br> invitations ""house to house"" in Jefferson; one <br> of the houses she visits is the <br> Compsons', where her anger leaves Quentin's grandmother <br> ""in hysterics"" (42).  [SOURCE: Father, Grandmother]",2,114,,,,,114,,87,114,,,,,,,,,,,
15607,1858-06-03,"Even twenty years after Coldfield's sister visited <br> her, Mrs. Compson remains somewhat traumatized by <br> what happened.  [SOURCE: Father, Grandmother]",2,166,,,,,166,,88,166,,,,,,,,,,,
15608,1838-06-03,Coldfield's sister finishes delivering the wedding invitations. <br>  [SOURCE: Father],2,115,,,,,115,,89,115,,,,,,,,,,,
15609,1838-06-03,The evening of the wedding both Sutpen <br> and the town make preparations for the <br> event.  [SOURCE: Father],2,117,,,,,117,,90,117,,,,,,,,,,,
15610,1838-06-03,Mr. Compson's description of Ellen and Sutpen's <br> wedding focuses on the tension and minor <br> violence involving the mob outside the church. <br>    [SOURCE: Father],2,120,,,,,120,,91,120,"""top center""","""middle right""",Sutpen marries Ellen,,,,,,,,
15611,1838-07-01,"Although Sutpen did not forget the scene <br> at his wedding, Ellen ""washed"" it away <br> with her tears (45).  The faces of the people who disrupted <br> it reappeared in her life, even on <br> some of her guests at Sutpen's Hundred, <br> but she ""was not to remember"" them <br> (44).  [SOURCE: Father]",2,122,,,,,122,,92,122,,,,,,,,,,,
15612,1909-09-06,Quentin expresses wonder at Rosa's motives for <br> telling him the Sutpen story.  [SOURCE: Narrator],3,553,,,,,553,,93,553,,,,,,,,,,,
15613,1864-01-01,"After Coldfield dies, Rosa moves out to <br> Sutpen's Hundred.  [SOURCE: Father]",3,,,,366,,366,,94,366,,,,,,,,,,,
15614,1845-01-01,"Mr. Compson sums up ""the first sixteen <br> years"" of Rosa's life (47), ""growing up <br> in that closed masonry of females"" (46). <br>  [SOURCE: Father]",3,,,,128,,128,,95,128,,,,,,,,,,,
15615,1861-07-01,Mr. Compson refers to Coldfield's actions during <br> the Civil War.    [SOURCE: Father],3,,,,347,,347,,96,347,,,,,,,,,,,
15616,1838-06-04,"In revenge for ""the fiasco of Ellen's <br> wedding,"" Rosa's aunt brings her up to <br> hate men (47).  [SOURCE: Father]",3,,,,121,,121,,97,121,,,,,,,,,,,
15617,1864-01-01,Mr. Compson speculates on the reasons behind <br> Rosa's decision to move out to Sutpen's <br> plantation.  [SOURCE: Father],3,,,,367,,367,,98,367,,,,,,,,,,,
15618,1909-09-06,"Mr. Compson interrupts his narrative to explain <br> to Quentin how Sutpen got and named <br> his children, including - cryptically - ""the <br> one before Clytie and Henry and Judith"" <br> (48).  Compson's attitude toward Sutpen including two women <br> for breeding purposes in his original set <br> of slaves, and fathering a child on <br> one of them himself, is complacent, but <br> he does call attention to Clytemnestra's classical <br> name.  [SOURCE: Narrator, Father]",3,554,,,,,554,,99,554,,,,,,,,,,,
15619,1845-01-01,Mr. Compson explains how seldom Rosa had <br> seen Sutpen by describing the visits she <br> and her aunt took to his plantation. <br>  [SOURCE: Father],3,,,,129,,129,,100,129,,,,,,,,,,,
15620,1845-01-01,"Mr. Compson describes the occasional visits Ellen <br> and her children made to the Coldfield <br> house, and how Sutpen was absent on <br> those occasions.  [SOURCE: Father, Grandfather]",3,,,,131,,131,,101,131,,,,,,,,,,,
15621,1855-01-01,Mr. Compson mentions the visits Rosa paid <br> to Sutpen's Hundred when she was ten. <br>  [SOURCE: Father],3,,,,156,,156,,102,156,,,,,,,,,,,
15622,1854-01-01,"Mr. Compson refers, ellipitically, to ""the night"" <br> that Rosa's aunt ""vanished"" (50).  [SOURCE: Father]",3,,,,152,,152,,103,152,,,,,,,,,,,
15623,1855-01-01,"After her aunt leaves, Rosa is taken <br> out to Sutpen's Hundred ""just once a <br> year"" by her father, where she feels <br> ""completely alone"" as she faces Sutpen across <br> the dinner table (50).  [SOURCE: Father]",3,,,,158,,158,,104,158,,,,,,,,,,,
15624,1861-01-01,"Mr. Compson speculates about what Ellen would <br> have looked like, had it not been <br> for the privations of the Civil War. <br>  [SOURCE: Father]",3,,317,,,,317,317,105,317,,,,,,,,,,,
15625,1855-01-01,"Mr. Compson sums up the routine followed <br> by Coldfield and Rosa on the days <br> they went out to Sutpen's Hundred during <br> the last years before the Civil War, <br> while also briefly alluding to events that <br> will happen during the war - Coldfield's <br> retreat to his attic and Rosa's poems <br> to the Confederate dead.  [SOURCE: Father]",3,,,,157,,157,,106,157,,,,,,,,,,,
15626,1859-09-01,"Mr. Coldfield stops making the annual visit <br> to Sutpen's.  Henry has begun attending college at Oxford, <br> and Judith has ""gone even further"" - <br> into female puberty, as Mr. Compson describes <br> it (52).  [SOURCE: Father]",3,,,,182,,182,,107,182,,,,,,,,,,,
15627,1861-01-01,"Mr. Compson speculates about what Rosa's life <br> would have been like, had it not <br> been for ""the catastrophe"" - which includes <br> what happened to the Sutpen family and <br> what happened to the South during the <br> Civil War (53).  [SOURCE: Father]",3,,319,,,,319,319,108,319,,,,,,,,,,,
15628,1859-01-01,"During the final years before the Civil <br> War, Ellen ""blooms"" as the grand lady <br> of a big plantation (54).  [SOURCE: Father]",3,,,,167,,167,,109,167,,,,,,,,,,,
15629,1859-01-01,Mr. Compson describes the frequent visits that <br> Ellen and Judith paid to Rosa in <br> the last year before the War.  [SOURCE: Father],3,,,,168,,168,,110,168,,,,,,,,,,,
15630,1859-12-25,"Mr. Compson quickly sums up the events <br> between Christmas, 1859, and the summer, 1860: <br> Henry bringing Bon home at Christmas, and <br> again at the end of the school <br> year, Ellen taking Judith to Memphis to <br> buy a trousseau, and Sutpen making a <br> secret trip to New Orleans.  [SOURCE: Father, Grandfather]",3,208,,,,,208,,111,208,"""middle center""","""middle left""",Charles Bon Christmas,,,,,,,,
15631,1860-01-06,"During Ellen and Judith's last visit to <br> the Coldfield house, Rosa offers to teach <br> Judith ""how to keep house"" - an <br> event Ellen herself retells ""with shrieks of <br> amusement"" (56).  [SOURCE: Father]",3,,,,222,,222,,112,222,,,,,,,,,,,
15632,1860-06-01,Rosa refuses to receive her sister at <br> her house.  [SOURCE: Father],3,,,,232,,232,,113,232,,,,,,,,,,,
15633,1859-06-01,"Rosa sees Henry two last times before <br> the War, once in each summer.  [SOURCE: Father]",3,,,,170,,170,,114,170,,,,,,,,,,,
15634,1859-12-25,"Rosa hears about the festivities at Sutpen's <br> Hundred during Bon's visit at Christmas, but <br> doesn't attend them; when Henry and Bon <br> stop at her house on New Year's <br> day, she is not at home.  [SOURCE: Father]",3,,,,204,,204,,115,204,,,,,,,,,,,
15635,1860-06-01,"Rosa sees Henry riding through the Square; <br> he does not see  her.  [SOURCE: Father, Grandmother]",3,,,,233,,233,,116,233,,,,,,,,,,,
15636,1848-01-01,"Mr. Compson sums up Sutpen's success: ""He <br> was the biggest single landowner and cotton-planter <br> in the county"" (56).  Despite this, his standing among the people <br> of Jefferson remains equivocal.    [SOURCE: Father, Town]",3,,,,133,,133,,117,133,,,,,,,,,,,
15637,1860-06-01,"The scene in the Square when Rosa <br> sees Henry is resumed. She thinks about <br> his appearance, while Mr. Compson describes the <br> paradoxes of her identity.  [SOURCE: Father]",3,,,,234,,234,,118,234,,,,,,,,,,,
15638,1860-07-01,Ellen continues her ritual shopping on the <br> Square.  [SOURCE: Father],3,,,,266,,266,,119,266,,,,,,,,,,,
