StartDate,Summary,chapter,event,Narrated,Hypothesized,NarratedConsciousness,Told,Remembered,Order,values,position
1833-06-01,"Rosa's narrative circles back to the scene <br> of Sutpen's arrival in Jefferson, and briefly <br> describes the way he built his plantation. <br>   [SOURCE: Rosa]",1,,,,,58,,Plot,19,
1833-06-01,"Rosa's narrative circles back to the scene <br> of Sutpen's arrival in Jefferson, and briefly <br> describes the way he built his plantation. <br>   [SOURCE: Rosa]",1,,,,,58,,Story,58,
1838-06-03,Rosa explains Sutpen's marrying her sister by <br> contrasting the social respectability that her family <br> possessed with Sutpen's unwillingness to say anything <br> about his origins and history.   [SOURCE: Rosa],1,,,,,116,,Plot,20,
1838-06-03,Rosa explains Sutpen's marrying her sister by <br> contrasting the social respectability that her family <br> possessed with Sutpen's unwillingness to say anything <br> about his origins and history.   [SOURCE: Rosa],1,,,,,116,,Story,116,
1833-06-01,"Rosa returns to the moment of Sutpen's <br> arrival in Jefferson, interpreting the significance of <br> both his youth and the appearance of <br> ""those negroes of his"" (11).   [SOURCE: Rosa]",1,,,,,49,,Plot,21,
1833-06-01,"Rosa returns to the moment of Sutpen's <br> arrival in Jefferson, interpreting the significance of <br> both his youth and the appearance of <br> ""those negroes of his"" (11).   [SOURCE: Rosa]",1,,,,,49,,Story,49,
1845-01-01,"Rosa's narrative approaches her own relationship with <br> Sutpen circuitously, talking both about what she <br> had seen during the first 20 years <br> of her life, and about what happened <br> even before she was born.   [SOURCE: Rosa]",1,,,,,132,,Plot,22,
1845-01-01,"Rosa's narrative approaches her own relationship with <br> Sutpen circuitously, talking both about what she <br> had seen during the first 20 years <br> of her life, and about what happened <br> even before she was born.   [SOURCE: Rosa]",1,,,,,132,,Story,132,
1866-04-01,"Rosa says her life ended ""on an <br> afternoon in April forty-three years ago"" (12). <br>   [SOURCE: Rosa]",1,,,,,443,,Plot,23,
1866-04-01,"Rosa says her life ended ""on an <br> afternoon in April forty-three years ago"" (12). <br>   [SOURCE: Rosa]",1,,,,,443,,Story,443,
1850-01-01,"Rosa recapitulates the pattern of misfortune which <br> she blames on Sutpen, but admits she <br> nonetheless ""agreed to marry him"" (12).   [SOURCE: Rosa]",1,,,,,147,,Plot,24,
1850-01-01,"Rosa recapitulates the pattern of misfortune which <br> she blames on Sutpen, but admits she <br> nonetheless ""agreed to marry him"" (12).   [SOURCE: Rosa]",1,,,,,147,,Story,147,
1861-01-01,Rosa sets her willingness to marry Sutpen <br> in the context of the Civil War. <br>   [SOURCE: Rosa],1,,,,,318,,Plot,25,
1861-01-01,Rosa sets her willingness to marry Sutpen <br> in the context of the Civil War. <br>   [SOURCE: Rosa],1,,,,,318,,Story,318,
06-09-09,Rosa interrupts her narrative to ask Quentin <br> a rhetorical question.   [SOURCE: Rosa],1,,540,,,,,Plot,26,
06-09-09,Rosa interrupts her narrative to ask Quentin <br> a rhetorical question.   [SOURCE: Rosa],1,,540,,,,,Story,540,
1838-06-02,"Rosa returns to the marriage between Ellen <br> and Sutpen, blaming it on her father; <br> the role played by the church in <br> this event leads her to wonder if <br> both her family and ""the South"" have <br> been cursed by God (14).   [SOURCE: Rosa]",1,,,,,112,,Plot,27,
1838-06-02,"Rosa returns to the marriage between Ellen <br> and Sutpen, blaming it on her father; <br> the role played by the church in <br> this event leads her to wonder if <br> both her family and ""the South"" have <br> been cursed by God (14).   [SOURCE: Rosa]",1,,,,,112,,Story,112,
1850-01-01,"Rosa describes her visits as a child <br> to Sutpen's, and her sister's dying request, <br> and wonders again ""what crime"" her ancestors <br> committed to bring on this curse (14). <br>   [SOURCE: Rosa]",1,,,,,144,,Plot,28,
1850-01-01,"Rosa describes her visits as a child <br> to Sutpen's, and her sister's dying request, <br> and wonders again ""what crime"" her ancestors <br> committed to bring on this curse (14). <br>   [SOURCE: Rosa]",1,,,,,144,,Story,144,
06-09-09,"In a break in Rosa's narrative, Quentin <br> has a vision of her as ""a <br> little girl"" (14).     [SOURCE: Narrator]",1,,541,,,,,Plot,29,
06-09-09,"In a break in Rosa's narrative, Quentin <br> has a vision of her as ""a <br> little girl"" (14).     [SOURCE: Narrator]",1,,541,,,,,Story,541,
1850-01-01,"Rosa complains she was born ""too late,"" <br> remembering her strained childhood and returning to <br> the moment when her dying sister asked <br> for her help (15).   [SOURCE: Rosa]",1,,,,,145,,Plot,30,
1850-01-01,"Rosa complains she was born ""too late,"" <br> remembering her strained childhood and returning to <br> the moment when her dying sister asked <br> for her help (15).   [SOURCE: Rosa]",1,,,,,145,,Story,145,
06-09-09,"Listening to ""the talking, the telling"" in <br> Rosa's dark room, Quentin feels as if <br> he is experiencing ""a dream"" (15).     [SOURCE: Narrator]",1,,542,,,,,Plot,31,
06-09-09,"Listening to ""the talking, the telling"" in <br> Rosa's dark room, Quentin feels as if <br> he is experiencing ""a dream"" (15).     [SOURCE: Narrator]",1,,542,,,,,Story,542,
1848-01-01,"Rosa recalls the first time she remembers <br> seeing Sutpen and Ellen and their children: <br> a Sunday when she was three and <br> their carriage arrived at church in ""a <br> fury of wildeyed horses"" and ""dust"" (16). <br>   [SOURCE: Rosa]",1,,,,,134,,Plot,32,
1848-01-01,"Rosa recalls the first time she remembers <br> seeing Sutpen and Ellen and their children: <br> a Sunday when she was three and <br> their carriage arrived at church in ""a <br> fury of wildeyed horses"" and ""dust"" (16). <br>   [SOURCE: Rosa]",1,,,,,134,,Story,134,
1848-01-08,"Rosa explains how Sutpen stopped coming to <br> church after the minister spoke to him <br> about the racing, but the racing continued, <br> instigated by ""the negro"" (17).   [SOURCE: Rosa]",1,,,,,135,,Plot,33,
1848-01-08,"Rosa explains how Sutpen stopped coming to <br> church after the minister spoke to him <br> about the racing, but the racing continued, <br> instigated by ""the negro"" (17).   [SOURCE: Rosa]",1,,,,,135,,Story,135,
1848-01-15,Rosa recalls overhearing a conversation about the <br> carriage racing between her aunt and her <br> father.   [SOURCE: Rosa],1,,136,,,,,Plot,34,
1848-01-15,Rosa recalls overhearing a conversation about the <br> carriage racing between her aunt and her <br> father.   [SOURCE: Rosa],1,,136,,,,,Story,136,
1848-01-15,"When Ellen replaces the carriage and the <br> driver to prevent racing, it is Judith <br> - ""not the boy . . . <br> [but] the girl"" (18) - who throws <br> a tantrum.   [SOURCE: Rosa]",1,,,,,137,,Plot,35,
1848-01-15,"When Ellen replaces the carriage and the <br> driver to prevent racing, it is Judith <br> - ""not the boy . . . <br> [but] the girl"" (18) - who throws <br> a tantrum.   [SOURCE: Rosa]",1,,,,,137,,Story,137,
1849-01-01,"Rosa recalls the first time she remembers <br> going into Sutpen's house, when she was <br> four; there she overhears a conversation between <br> her father and her sister.   [SOURCE: Rosa]",1,,,,,140,,Plot,36,
1849-01-01,"Rosa recalls the first time she remembers <br> going into Sutpen's house, when she was <br> four; there she overhears a conversation between <br> her father and her sister.   [SOURCE: Rosa]",1,,,,,140,,Story,140,
1849-01-01,"Rosa sums up the next six years <br> in her childhood, mentioning the absence of <br> her aunt, and the occasional visits from <br> Ellen to the Coldfield house, where Rosa <br> is ""keeping house for papa"" (19).   [SOURCE: Rosa]",1,,,,,141,,Plot,37,
1849-01-01,"Rosa sums up the next six years <br> in her childhood, mentioning the absence of <br> her aunt, and the occasional visits from <br> Ellen to the Coldfield house, where Rosa <br> is ""keeping house for papa"" (19).   [SOURCE: Rosa]",1,,,,,141,,Story,141,
1849-01-01,"Rosa describes the wrestling matches at Sutpen's <br> between ""two of his wild negroes"" (20), <br> and the men from town who came <br> to watch.   [SOURCE: Rosa]",1,,,,,142,,Plot,38,
1849-01-01,"Rosa describes the wrestling matches at Sutpen's <br> between ""two of his wild negroes"" (20), <br> and the men from town who came <br> to watch.   [SOURCE: Rosa]",1,,,,,142,,Story,142,
1855-01-01,"Rosa describes the one night when Ellen <br> went down to the stable to see <br> her husband wrestling a slave while their <br> son ""screamed and vomited"" (21), and Judith <br> watched from ""the loft"" - along with <br> a ""negro girl"" who also had the <br> face of a Sutpen (22).  [SOURCE: Rosa]",1,,,,,153,,Plot,39,
1855-01-01,"Rosa describes the one night when Ellen <br> went down to the stable to see <br> her husband wrestling a slave while their <br> son ""screamed and vomited"" (21), and Judith <br> watched from ""the loft"" - along with <br> a ""negro girl"" who also had the <br> face of a Sutpen (22).  [SOURCE: Rosa]",1,,,,,153,,Story,153,
06-09-09,"The scene shifts to the ""front gallery"" <br> (i.e. the porch) of the Compson house, <br> where Quentin and Mr. Compson sit in <br> the ""twilight"" (23).  [SOURCE: Narrator]",2,Mr. Compson narrates,552,,,,,Plot,40,"""top right"""
06-09-09,"The scene shifts to the ""front gallery"" <br> (i.e. the porch) of the Compson house, <br> where Quentin and Mr. Compson sit in <br> the ""twilight"" (23).  [SOURCE: Narrator]",2,Mr. Compson narrates,552,,,,,Story,552,"""middle left"""
13-01-10,"The narrative anticipates the time, ""five months <br> later,"" when Mr. Compson's letter reaches Quentin <br> at Harvard (23).  [SOURCE: Narrator]",2,,590,,,,,Plot,41,
13-01-10,"The narrative anticipates the time, ""five months <br> later,"" when Mr. Compson's letter reaches Quentin <br> at Harvard (23).  [SOURCE: Narrator]",2,,590,,,,,Story,590,
1833-06-01,"The narrative connects Sutpen's arrival in Jefferson <br> with Quentin's life by noting that he <br> ""still breathed the same air"" and even <br> ""heard one of the original three [church] <br> bells"" that rang on ""that Sunday morning <br> in 1833"" (23).   [SOURCE: Narrator]",2,,54,,,,,Plot,42,
1833-06-01,"The narrative connects Sutpen's arrival in Jefferson <br> with Quentin's life by noting that he <br> ""still breathed the same air"" and even <br> ""heard one of the original three [church] <br> bells"" that rang on ""that Sunday morning <br> in 1833"" (23).   [SOURCE: Narrator]",2,,54,,,,,Story,54,
1833-06-01,"The narrator describes Sutpen's arrival in Jefferson, <br> and the appearance of the town, in <br> 1833; this revises what the narrator had <br> said about that arrival in Chapter 1. <br>  [SOURCE: Narrator]",2,,48,,,,,Plot,43,
1833-06-01,"The narrator describes Sutpen's arrival in Jefferson, <br> and the appearance of the town, in <br> 1833; this revises what the narrator had <br> said about that arrival in Chapter 1. <br>  [SOURCE: Narrator]",2,,48,,,,,Story,48,
1833-07-01,"The narrative anticipates Sutpen's first month in <br> Jefferson.  [SOURCE: Narrator, Town]",2,,64,,,,,Plot,44,
1833-07-01,"The narrative anticipates Sutpen's first month in <br> Jefferson.  [SOURCE: Narrator, Town]",2,,64,,,,,Story,64,
1833-06-01,"The narrative sums up the way Sutpen <br> looked to the town when he first <br> arrived: ""like a man who had been <br> through some solitary furnace experience"" (24).  [SOURCE: Narrator]",2,,50,,,,,Plot,45,
1833-06-01,"The narrative sums up the way Sutpen <br> looked to the town when he first <br> arrived: ""like a man who had been <br> through some solitary furnace experience"" (24).  [SOURCE: Narrator]",2,,50,,,,,Story,50,
1835-01-01,"The narrative anticipates what ""the town learned"" <br> about Sutpen's first arrival ""years"" afterwards (24). <br>  [SOURCE: Narrator, Town]",2,,92,,,,,Plot,46,
1835-01-01,"The narrative anticipates what ""the town learned"" <br> about Sutpen's first arrival ""years"" afterwards (24). <br>  [SOURCE: Narrator, Town]",2,,92,,,,,Story,92,
1833-06-01,The narrative describes what the town saw <br> when Sutpen first arrived.  [SOURCE: Narrator],2,,51,,,,,Plot,47,
1833-06-01,The narrative describes what the town saw <br> when Sutpen first arrived.  [SOURCE: Narrator],2,,51,,,,,Story,51,
06-09-09,In the middle of describing Sutpen's first <br> appearance in June 1833 the narrative recalls <br> (and jumps ahead to) what Rosa had <br> described to Quentin in September 1909.  [SOURCE: Narrator],2,,534,,,,,Plot,48,
06-09-09,In the middle of describing Sutpen's first <br> appearance in June 1833 the narrative recalls <br> (and jumps ahead to) what Rosa had <br> described to Quentin in September 1909.  [SOURCE: Narrator],2,,534,,,,,Story,534,
1833-06-04,"The narrative describes Sutpen's pistols, and the <br> demonstration he gave of his prowess with <br> them.  [SOURCE: Narrator, Grandfather]",2,,60,,,,,Plot,49,
1833-06-04,"The narrative describes Sutpen's pistols, and the <br> demonstration he gave of his prowess with <br> them.  [SOURCE: Narrator, Grandfather]",2,,60,,,,,Story,60,
1833-06-03,"While Sutpen stays at the Holston House, <br> the men of Jefferson try to learn <br> more about him.  [SOURCE: Narrator, Town]",2,,57,,,,,Plot,50,
1833-06-03,"While Sutpen stays at the Holston House, <br> the men of Jefferson try to learn <br> more about him.  [SOURCE: Narrator, Town]",2,,57,,,,,Story,57,
1840-01-01,"The narrative anticipates two events ""years later"": <br> when General Compson understood why Sutpen never <br> drank in 1833, and when Compson became <br> ""General Compson"" (25).  [SOURCE: Narrator, Grandfather]",2,,126,,,,,Plot,51,
1840-01-01,"The narrative anticipates two events ""years later"": <br> when General Compson understood why Sutpen never <br> drank in 1833, and when Compson became <br> ""General Compson"" (25).  [SOURCE: Narrator, Grandfather]",2,,126,,,,,Story,126,
1833-06-01,"""It was General Compson"" who first realizes <br> how driven Sutpen was during the years <br> between his arrival and the birth of <br> his son (25).  (The confusing chronological references in this passage <br> seem deliberate: does it describe something that <br> happened after Compson became ""General Compson"" in <br> 1864-1865? or something that happened ""at this <br> time"" in 1833-1839 - decades before Compson <br> became ""General Compson""?)  [SOURCE: Narrator, Grandfather]",2,,59,,,,,Plot,52,
1833-06-01,"""It was General Compson"" who first realizes <br> how driven Sutpen was during the years <br> between his arrival and the birth of <br> his son (25).  (The confusing chronological references in this passage <br> seem deliberate: does it describe something that <br> happened after Compson became ""General Compson"" in <br> 1864-1865? or something that happened ""at this <br> time"" in 1833-1839 - decades before Compson <br> became ""General Compson""?)  [SOURCE: Narrator, Grandfather]",2,,59,,,,,Story,59,
1833-06-02,"The men in the Holston House continue <br> trying, unsuccessfully, to learn ""who [Sutpen] was <br> and where he came from and what <br> he was up to"" (25).    [SOURCE: Narrator]",2,,56,,,,,Plot,53,
1833-06-02,"The men in the Holston House continue <br> trying, unsuccessfully, to learn ""who [Sutpen] was <br> and where he came from and what <br> he was up to"" (25).    [SOURCE: Narrator]",2,,56,,,,,Story,56,
1833-06-07,"On a Saturday night, Sutpen records a <br> deed to ""a hundred square miles of <br> some of the best virgin bottom land <br> in the county"" (26).  [SOURCE: Narrator, Town]",2,,61,,,,,Plot,54,
1833-06-07,"On a Saturday night, Sutpen records a <br> deed to ""a hundred square miles of <br> some of the best virgin bottom land <br> in the county"" (26).  [SOURCE: Narrator, Town]",2,,61,,,,,Story,61,
1833-06-08,"Sutpen leaves town.  In his absence the men discuss what <br> it means that he has become a <br> land owner.    [SOURCE: Narrator, Grandfather]",2,,63,,,,,Plot,55,
1833-06-08,"Sutpen leaves town.  In his absence the men discuss what <br> it means that he has become a <br> land owner.    [SOURCE: Narrator, Grandfather]",2,,63,,,,,Story,63,
06-09-09,"The narrative jumps ahead from Sutpen's first <br> summer in Jefferson to the story Rosa <br> tells Quentin ""almost eighty years later"" (26). <br>  [SOURCE: Narrator]",2,,533,,,,,Plot,56,
06-09-09,"The narrative jumps ahead from Sutpen's first <br> summer in Jefferson to the story Rosa <br> tells Quentin ""almost eighty years later"" (26). <br>  [SOURCE: Narrator]",2,,533,,,,,Story,533,
1833-08-01,"Two months after registering his deed, Sutpen <br> returns to Jefferson with the wagon full <br> of enslaved people and the French architect. <br>  Over the next two years they build <br> Sutpen's plantation house.  (Note: this revises or contradicts the date <br> the narrator gave for Sutpen's arrival with <br> slaves and architect in Chapter 1.)  [SOURCE: Narrator, Rosa, Town]",2,,65,,,,,Plot,57,
1833-08-01,"Two months after registering his deed, Sutpen <br> returns to Jefferson with the wagon full <br> of enslaved people and the French architect. <br>  Over the next two years they build <br> Sutpen's plantation house.  (Note: this revises or contradicts the date <br> the narrator gave for Sutpen's arrival with <br> slaves and architect in Chapter 1.)  [SOURCE: Narrator, Rosa, Town]",2,,65,,,,,Story,65,
1837-01-01,"Although the French architect only passes through <br> Jefferson twice in two years, ""years later"" <br> the town learns more about him.  [SOURCE: Narrator, Town]",2,,95,,,,,Plot,58,
1837-01-01,"Although the French architect only passes through <br> Jefferson twice in two years, ""years later"" <br> the town learns more about him.  [SOURCE: Narrator, Town]",2,,95,,,,,Story,95,
1833-08-01,"When Sutpen passes through Jefferson the second <br> time, someone discovers that his wagon is <br> full of slaves.  [SOURCE: Narrator, Town]",2,,66,,,,,Plot,59,
1833-08-01,"When Sutpen passes through Jefferson the second <br> time, someone discovers that his wagon is <br> full of slaves.  [SOURCE: Narrator, Town]",2,,66,,,,,Story,66,
1840-01-01,"""Later"" Sutpen explains his haste on the <br> day of his second arrival in Jefferson <br> (27).  [SOURCE: Narrator, Grandfather]",2,,,,,125,,Plot,60,
1840-01-01,"""Later"" Sutpen explains his haste on the <br> day of his second arrival in Jefferson <br> (27).  [SOURCE: Narrator, Grandfather]",2,,,,,125,,Story,125,
1833-08-02,"Men from the town go out to <br> Sutpen's to watch as he and his <br> slaves, all of them naked and covered <br> with mud, built his plantation house.    [SOURCE: Narrator, Rosa, Father, Grandfather, Town]",2,,67,,,,,Plot,61,
1833-08-02,"Men from the town go out to <br> Sutpen's to watch as he and his <br> slaves, all of them naked and covered <br> with mud, built his plantation house.    [SOURCE: Narrator, Rosa, Father, Grandfather, Town]",2,,67,,,,,Story,67,
1833-09-01,"It took two years to build the <br> house at Sutpen's Hundred.    [SOURCE: Narrator, Grandfather, Town]",2,,68,,,,,Plot,62,
1833-09-01,"It took two years to build the <br> house at Sutpen's Hundred.    [SOURCE: Narrator, Grandfather, Town]",2,,68,,,,,Story,68,
06-09-09,"Quentin has seen the Sutpen house ""seventy-five <br> years after it was finished"" (29) - <br> which would be 1910, when Quentin is <br> in Massachusetts.  Presumably the reference is to the trip <br> Quentin takes with Rosa in September 1909. <br>  [SOURCE: Narrator]",2,,573,,,,,Plot,63,
06-09-09,"Quentin has seen the Sutpen house ""seventy-five <br> years after it was finished"" (29) - <br> which would be 1910, when Quentin is <br> in Massachusetts.  Presumably the reference is to the trip <br> Quentin takes with Rosa in September 1909. <br>  [SOURCE: Narrator]",2,,573,,,,,Story,573,
1833-09-01,"General Compson expresses his admiration for what <br> Sutpen's architect - an ""artist"" - was <br> able to accomplish in the face of <br> environmental circumstances and Sutpen's own ""over-weening vanity"" <br> (29).  [SOURCE: Narrator, Grandfather]",2,,69,,,,,Plot,64,
1833-09-01,"General Compson expresses his admiration for what <br> Sutpen's architect - an ""artist"" - was <br> able to accomplish in the face of <br> environmental circumstances and Sutpen's own ""over-weening vanity"" <br> (29).  [SOURCE: Narrator, Grandfather]",2,,69,,,,,Story,69,
1834-06-04,A parenthetical reference that implies what General <br> Compson would learn later about Sutpen's ambition. <br>    [SOURCE: Narrator],2,,88,,,,,Plot,65,
1834-06-04,A parenthetical reference that implies what General <br> Compson would learn later about Sutpen's ambition. <br>    [SOURCE: Narrator],2,,88,,,,,Story,88,
1835-01-01,"""For three years"" Sutpen lives on his <br> plantation, unfinished but with ""slave quarters and <br> stables and smokehouses"" and with cotton grown <br> from seed provided by General Compson (29). <br>  He invites ""parties of men"" who hunt <br> and drink in a very ""masculine"" existence <br> (30).  [SOURCE: Narrator, Rosa, Grandfather, Town]",2,,90,,,,,Plot,66,
1835-01-01,"""For three years"" Sutpen lives on his <br> plantation, unfinished but with ""slave quarters and <br> stables and smokehouses"" and with cotton grown <br> from seed provided by General Compson (29). <br>  He invites ""parties of men"" who hunt <br> and drink in a very ""masculine"" existence <br> (30).  [SOURCE: Narrator, Rosa, Grandfather, Town]",2,,90,,,,,Story,90,
1838-01-01,"On another Sunday morning, Sutpen comes into <br> Jefferson - this time to attend services <br> at ""the Methodist church"" (31).  The town believes he has come to <br> find a wife, but is surprised when <br> he seems to single out Goodhue Coldfield, <br> forgetting that he has ""a marriageable daughter"" <br> (32).  [SOURCE: Narrator, Town]",2,,98,,,,,Plot,67,
1838-01-01,"On another Sunday morning, Sutpen comes into <br> Jefferson - this time to attend services <br> at ""the Methodist church"" (31).  The town believes he has come to <br> find a wife, but is surprised when <br> he seems to single out Goodhue Coldfield, <br> forgetting that he has ""a marriageable daughter"" <br> (32).  [SOURCE: Narrator, Town]",2,,98,,,,,Story,98,
1838-01-02,"Sutpen brings an end to the ""hunting <br> parties,"" and begins coming into Jefferson more <br> frequently.    [SOURCE: Narrator, Town]",2,,99,,,,,Plot,68,
1838-01-02,"Sutpen brings an end to the ""hunting <br> parties,"" and begins coming into Jefferson more <br> frequently.    [SOURCE: Narrator, Town]",2,,99,,,,,Story,99,
1838-01-03,"Mr. Compson takes over telling the story <br> from the third-person narrator, describing Sutpen leaving <br> town ""for the second time"" (33).  [SOURCE: Narrator]",2,,100,,,,,Plot,69,
1838-01-03,"Mr. Compson takes over telling the story <br> from the third-person narrator, describing Sutpen leaving <br> town ""for the second time"" (33).  [SOURCE: Narrator]",2,,100,,,,,Story,100,
1838-04-01,"Three months after leaving Yoknapatawpha again, Sutpen <br> returns with three wagon loads of furnishings <br> for his house.  The town knows that Goodhue Coldfield is <br> somehow involved in their acquisition, but their <br> suspicions about how Sutpen got them turn <br> him into ""a public enemy"" (33).  [SOURCE: Father, Town]",2,,,,,101,,Plot,70,
